id; nazwa; sezon_rozgrywek; gole_strzelone_w_domu; gole_strzelone_na_wyjezdzie; gole_stracone_w_domu; gole_stracone_na_wyjezdzie; zolte_kartki; czerwone_kartki; mecze_domowe; mecze_na_wyjezdzie; srednia_goli_straconych_w_domu; srednia_goli_strzelonych_w_domu; srednia_goli_straconych_na_wyjezdzie; srednia_goli_strzelonych_na_wyjezdzie; wygrane_w_domu; wygrane_na_wyjezdzie; przegrane_w_domu; przegrane_na_wyjezdzie; remisy_w_domu; remisy_na_wyjezdzie; liga
532; Valencia; 2023; 19.0; 16.0; 19.0; 24.0; 58.0; 4.0; 16.0; 16.0; 0.6; 19.0; 1.5; 1.0; 8.0; 5.0; 3.0; 8.0; 5.0; 3.0; hiszpanska
531; Athletic Club; 2023; 38.0; 14.0; 38.0; 14.0; 72.0; 3.0; 17.0; 15.0; 0.9; 38.0; 0.9; 0.9; 11.0; 5.0; 1.0; 5.0; 5.0; 5.0; hiszpanska
530; Atletico Madrid; 2023; 37.0; 22.0; 37.0; 19.0; 71.0; 4.0; 16.0; 15.0; 1.1; 37.0; 1.3; 1.5; 14.0; 5.0; 1.0; 7.0; 1.0; 3.0; hiszpanska
529; Barcelona; 2023; 34.0; 28.0; 34.0; 15.0; 73.0; 2.0; 16.0; 15.0; 1.2; 34.0; 1.0; 1.9; 12.0; 9.0; 3.0; 0.0; 1.0; 6.0; hiszpanska
192; 1.FC Köln; 2023; 12.0; 11.0; 12.0; 27.0; 59.0; 4.0; 15.0; 15.0; 1.7; 12.0; 1.8; 0.7; 3.0; 1.0; 9.0; 7.0; 3.0; 7.0; niemiecka
182; Union Berlin; 2023; 17.0; 9.0; 17.0; 25.0; 55.0; 7.0; 15.0; 15.0; 1.7; 17.0; 1.7; 0.6; 6.0; 2.0; 7.0; 10.0; 2.0; 3.0; niemiecka
181; SV Darmstadt 98; 2023; 15.0; 15.0; 15.0; 35.0; 70.0; 4.0; 15.0; 15.0; 2.5; 15.0; 2.3; 1.0; 1.0; 2.0; 11.0; 8.0; 3.0; 5.0; niemiecka
180; FC Heidenheim; 2023; 25.0; 18.0; 25.0; 28.0; 49.0; 1.0; 15.0; 15.0; 1.6; 25.0; 1.9; 1.2; 6.0; 2.0; 5.0; 7.0; 4.0; 6.0; niemiecka
176; Vfl Bochum; 2023; 23.0; 11.0; 23.0; 38.0; 92.0; 1.0; 15.0; 15.0; 1.5; 23.0; 2.5; 0.7; 4.0; 1.0; 3.0; 10.0; 8.0; 4.0; niemiecka
173; RB Leipzig; 2023; 35.0; 34.0; 35.0; 24.0; 54.0; 0.0; 15.0; 15.0; 0.7; 35.0; 1.6; 2.3; 10.0; 8.0; 2.0; 5.0; 3.0; 2.0; niemiecka
172; VfB Stuttgart; 2023; 43.0; 24.0; 43.0; 20.0; 46.0; 1.0; 15.0; 14.0; 0.9; 43.0; 1.4; 1.7; 11.0; 9.0; 1.0; 5.0; 3.0; 0.0; niemiecka
170; FC Augsburg; 2023; 26.0; 22.0; 26.0; 27.0; 64.0; 3.0; 15.0; 15.0; 1.5; 26.0; 1.8; 1.5; 6.0; 4.0; 3.0; 8.0; 6.0; 3.0; niemiecka
169; Eintracht Frankfurt; 2023; 26.0; 20.0; 26.0; 26.0; 65.0; 5.0; 15.0; 15.0; 0.9; 26.0; 1.7; 1.3; 7.0; 4.0; 1.0; 6.0; 7.0; 5.0; niemiecka
168; Bayer Leverkusen; 2023; 43.0; 31.0; 43.0; 11.0; 51.0; 0.0; 15.0; 14.0; 0.5; 43.0; 0.8; 2.2; 13.0; 12.0; 0.0; 0.0; 2.0; 2.0; niemiecka
167; 1899 Hoffenheim; 2023; 26.0; 27.0; 26.0; 32.0; 81.0; 5.0; 15.0; 15.0; 1.9; 26.0; 2.1; 1.8; 5.0; 6.0; 6.0; 7.0; 4.0; 2.0; niemiecka
165; Borussia Dortmund; 2023; 27.0; 30.0; 27.0; 14.0; 50.0; 4.0; 14.0; 15.0; 1.4; 27.0; 0.9; 2.0; 8.0; 8.0; 4.0; 1.0; 2.0; 6.0; niemiecka
164; FSV Mainz 05; 2023; 19.0; 11.0; 19.0; 30.0; 83.0; 2.0; 15.0; 14.0; 1.1; 19.0; 2.1; 0.8; 5.0; 0.0; 6.0; 7.0; 4.0; 7.0; niemiecka
163; Borussia Monchengladbach; 2023; 26.0; 27.0; 26.0; 35.0; 60.0; 2.0; 15.0; 15.0; 1.7; 26.0; 2.3; 1.8; 5.0; 2.0; 6.0; 7.0; 4.0; 6.0; niemiecka
162; Werder Bremen; 2023; 21.0; 15.0; 21.0; 27.0; 67.0; 2.0; 14.0; 15.0; 1.6; 21.0; 1.8; 1.0; 5.0; 3.0; 6.0; 8.0; 3.0; 4.0; niemiecka
161; VfL Wolfsburg; 2023; 21.0; 14.0; 21.0; 28.0; 80.0; 5.0; 15.0; 15.0; 1.5; 21.0; 1.9; 0.9; 5.0; 3.0; 6.0; 9.0; 4.0; 3.0; niemiecka
160; SC Freiburg; 2023; 25.0; 16.0; 25.0; 26.0; 51.0; 3.0; 14.0; 15.0; 1.9; 25.0; 1.7; 1.1; 5.0; 6.0; 4.0; 8.0; 5.0; 1.0; niemiecka
157; Bayern Munich; 2023; 49.0; 38.0; 49.0; 26.0; 44.0; 2.0; 15.0; 15.0; 0.7; 49.0; 1.7; 2.5; 12.0; 9.0; 2.0; 4.0; 1.0; 2.0; niemiecka
116; Lens; 2023; 23.0; 16.0; 23.0; 16.0; 70.0; 5.0; 15.0; 15.0; 1.1; 23.0; 1.1; 1.1; 8.0; 5.0; 4.0; 6.0; 3.0; 4.0; francuska
