id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
46815; Pau; Francisco Torres; 66; 2023; 27.0; 191.0; 80.0; Spain; 25.0; 2104.0; Defender; 6.864; 9.0; 5.0; 2.0; 1563.0; 54.0; 7.0; 0.0; 134.0; 71.0; 25.0; 12.0; 23.0; 17.0; 7.0; 14.0; 1.0; 0.0; false
19179; Tyrone Deon; Mings; 66; 2023; 31.0; 196.0; 77.0; England; 1.0; 31.0; Defender; 6.7; 0.0; 0.0; 0.0; 5.0; 5.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
21090; Diego Carlos; Santos Silva; 66; 2023; 31.0; 186.0; 79.0; Brazil; 22.0; 1523.0; Defender; 6.722727; 6.0; 1.0; 0.0; 1113.0; 44.0; 3.0; 0.0; 101.0; 47.0; 25.0; 13.0; 4.0; 2.0; 3.0; 19.0; 4.0; 0.0; false
19298; Matthew Stuart; Cash; 66; 2023; 27.0; 185.0; 79.0; Poland; 26.0; 1899.0; Defender; 6.938461; 21.0; 13.0; 2.0; 940.0; 30.0; 11.0; 1.0; 193.0; 94.0; 48.0; 18.0; 29.0; 11.0; 20.0; 25.0; 6.0; 0.0; false
2724; Lucas; Digne; 66; 2023; 31.0; 178.0; 74.0; France; 28.0; 1963.0; Defender; 6.875; 11.0; 4.0; 1.0; 839.0; 24.0; 32.0; 3.0; 180.0; 98.0; 36.0; 24.0; 16.0; 4.0; 24.0; 24.0; 6.0; 0.0; false
766; Robin Patrick; Olsen; 66; 2023; 34.0; 198.0; 89.0; Sweden; 2.0; 180.0; Goalkeeper; 6.95; 0.0; 0.0; 0.0; 77.0; 28.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
19599; Damián Emiliano; Martínez Romero; 66; 2023; 32.0; 195.0; 88.0; Argentina; 31.0; 2790.0; Goalkeeper; 7.148387; 0.0; 0.0; 0.0; 1165.0; 30.0; 2.0; 0.0; 14.0; 13.0; 0.0; 0.0; 0.0; 0.0; 7.0; 1.0; 4.0; 0.0; false
2922; Leander; Dendoncker; 66; 2023; 29.0; 188.0; 83.0; Belgium; 8.0; 113.0; Midfielder; 6.55; 1.0; 1.0; 1.0; 56.0; 5.0; 0.0; 0.0; 19.0; 11.0; 6.0; 2.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; false
138931; Jaden; Philogene-Bidace; 66; 2023; 22.0; 181.0; 0.0; England; 1.0; 3.0; Midfielder; 6.3; 0.0; 0.0; 0.0; 4.0; 3.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
44811; Scott; Fraser McKenna; 65; 2023; 28.0; 189.0; 74.0; Scotland; 5.0; 417.0; Defender; 6.86; 2.0; 0.0; 0.0; 169.0; 26.0; 3.0; 0.0; 33.0; 26.0; 4.0; 5.0; 0.0; 0.0; 2.0; 3.0; 0.0; 0.0; false
14206; Brandon; Aguilera Zamora; 65; 2023; 21.0; 179.0; 60.0; Costa Rica; 1.0; 4.0; Midfielder; 6.3; 0.0; 0.0; 0.0; 8.0; 4.0; 0.0; 0.0; 3.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3.0; 0.0; 0.0; false
341641; Rodrigo; Duarte Ribeiro; 65; 2023; 19.0; 185.0; 75.0; Portugal; 2.0; 1.0; Attacker; 6.7; 0.0; 0.0; 0.0; 4.0; 2.0; 0.0; 0.0; 2.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; false
153430; Anthony David; Junior Elanga; 65; 2023; 22.0; 178.0; 70.0; Sweden; 31.0; 2149.0; Attacker; 6.925806; 40.0; 22.0; 5.0; 571.0; 13.0; 29.0; 8.0; 211.0; 98.0; 32.0; 7.0; 63.0; 26.0; 24.0; 7.0; 1.0; 0.0; false
305; Divock; Okoth Origi; 65; 2023; 29.0; 185.0; 75.0; Belgium; 19.0; 588.0; Attacker; 6.6; 10.0; 4.0; 0.0; 129.0; 5.0; 7.0; 1.0; 86.0; 34.0; 6.0; 2.0; 20.0; 9.0; 8.0; 14.0; 1.0; 0.0; false
2298; Callum James; Hudson-Odoi; 65; 2023; 24.0; 182.0; 76.0; England; 24.0; 1420.0; Attacker; 6.9875; 20.0; 15.0; 5.0; 498.0; 17.0; 26.0; 1.0; 159.0; 75.0; 12.0; 5.0; 62.0; 40.0; 22.0; 12.0; 0.0; 0.0; false
8598; Taiwo Micheal; Awoniyi; 65; 2023; 27.0; 183.0; 84.0; Nigeria; 17.0; 1030.0; Attacker; 6.911764; 19.0; 11.0; 6.0; 167.0; 7.0; 10.0; 3.0; 126.0; 53.0; 9.0; 1.0; 15.0; 8.0; 15.0; 9.0; 2.0; 0.0; false
275170; Danilo; dos Santos de Oliveira; 65; 2023; 23.0; 176.0; 69.0; Brazil; 24.0; 1383.0; Midfielder; 6.856521; 14.0; 7.0; 2.0; 575.0; 19.0; 10.0; 1.0; 107.0; 56.0; 23.0; 29.0; 22.0; 14.0; 8.0; 9.0; 4.0; 0.0; false
18931; Christopher Grant; Wood; 65; 2023; 33.0; 191.0; 81.0; New Zealand; 26.0; 1369.0; Attacker; 6.965384; 27.0; 19.0; 12.0; 326.0; 9.0; 20.0; 1.0; 194.0; 76.0; 5.0; 1.0; 13.0; 6.0; 10.0; 18.0; 0.0; 0.0; false
